timestamp,source_ip,destination_ip,source_port,destination_port,tls_version,ja3_string,ja3_hash,application,version,tls_stack
2026-09-06 01:30:10,10.7.57.57,104.18.24.232,57443,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,27-43-18-5-17613-23-13-35-65281-16-65037-51764-0-10-51-11-45-41,4588-29-23-24,0",cf9e882e7bc3f3e6f57a5d768f846dcd,curl,8.21.0,Windows Schannel
2026-09-06 04:43:47,10.7.57.57,104.18.24.232,57443,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,27-43-18-5-17613-23-13-35-65281-16-65037-51764-0-10-51-11-45-41,4588-29-23-24,0",cf9e882e7bc3f3e6f57a5d768f846dcd,curl,8.21.0,Windows Schannel
2026-09-06 04:47:09,10.7.57.57,184.28.173.19,57730,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-16-51-49-23-65281-45-41,29-23-24,0",d7268fba5c8ebdc86121861931c04402,Python SSL,Python 3.x,Python ssl / OpenSSL
2026-09-06 04:47:23,10.7.57.57,184.28.173.19,57730,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-16-51-49-23-65281-45-41,29-23-24,0",d7268fba5c8ebdc86121861931c04402,Python SSL,Python 3.x,Python ssl / OpenSSL
2026-09-06 04:48:41,10.7.57.57,184.28.173.19,57730,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-16-51-49-23-65281-45-41,29-23-24,0",d7268fba5c8ebdc86121861931c04402,Python SSL,Python 3.x,Python ssl / OpenSSL
2026-09-06 04:49:01,10.7.57.57,184.28.173.19,57730,443,771,"771,4866-4865-49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-43-13-35-10-11-16-51-49-23-65281-45-41,29-23-24,0",d7268fba5c8ebdc86121861931c04402,Python SSL,Python 3.x,Python ssl / OpenSSL
2026-09-06 04:51:35,10.7.57.57,48.199.12.1,58116,443,771,"771,49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-10-11-13-35-16-23-65281,29-23-24,0",091f51a7a1c3a4504a224cc081ce9cee,Chrome,Installed Chrome version,Chrome / Windows TLS
2026-09-06 04:52:42,10.7.57.57,48.199.12.1,58116,443,771,"771,49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-10-11-13-35-16-23-65281,29-23-24,0",091f51a7a1c3a4504a224cc081ce9cee,Chrome,Installed Chrome version,Chrome / Windows TLS
2026-09-06 04:53:05,10.7.57.57,48.199.12.1,58116,443,771,"771,49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47,0-5-10-11-13-35-16-23-65281,29-23-24,0",091f51a7a1c3a4504a224cc081ce9cee,Chrome,Installed Chrome version,Chrome / Windows TLS
2026-09-06 05:30:51,10.7.57.57,104.18.24.232,54116,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,27-0-35-10-17613-13-65281-45-23-65037-5-51764-16-18-11-43-51-41,4588-29-23-24,0",d03be5b7aa2a8e3c5cfbaa33ed8256da,Firefox,Installed Firefox version,Firefox TLS stack
2026-09-06 05:35:15,10.7.57.57,104.18.24.232,54116,443,771,"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,27-0-35-10-17613-13-65281-45-23-65037-5-51764-16-18-11-43-51-41,4588-29-23-24,0",d03be5b7aa2a8e3c5cfbaa33ed8256da,Firefox,Installed Firefox version,Firefox TLS stack
2026-09-06 05:43:59,10.7.57.57,34.54.185.247,54210,443,771,"771,49195-49199-52393-52392-49196-49200-49171-49172-156-157-47-53,0-23-65281-10-11-35-16-5-18-13-28,29-23-24-25,0",4e9725a4a78a23a30c381b0e4169508c,Microsoft Edge,Installed Edge version,Edge TLS stack
2026-09-06 05:47:44,10.7.57.57,34.54.185.247,54210,443,771,"771,49195-49199-52393-52392-49196-49200-49171-49172-156-157-47-53,0-23-65281-10-11-35-16-5-18-13-28,29-23-24-25,0",4e9725a4a78a23a30c381b0e4169508c,Microsoft Edge,Installed Edge version,Edge TLS stack
2026-09-06 05:53:19,10.7.57.57,34.54.185.247,54210,443,771,"771,49195-49199-52393-52392-49196-49200-49171-49172-156-157-47-53,0-23-65281-10-11-35-16-5-18-13-28,29-23-24-25,0",4e9725a4a78a23a30c381b0e4169508c,Microsoft Edge,Installed Edge version,Edge TLS stack
